"URL страницы","Заголовок","Артикул/SKU","Цена","Наличие","Вес","Картинки","Категории"
https://shop.ms-armaturen.de/1-TLG.-KUGELHAHN-IG-IG-Rp1-2-316Ti-RED.-DURCHGANG/040030001204,"1-TLG. KUGELHAHN IG-IG Rp1/2"" 316Ti RED. DURCHGANG
","040030001204
","14,16 €*
","Нет
","0.43 kg
","https://shop.ms-armaturen.de/media/ed/b0/91/1653400254/0400300EC-k.jpg ,https://shop.ms-armaturen.de/media/89/01/97/1653400255/0400300EC.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp1-4-316-316Ti/040030101414,"WINKEL 90 IG-IG Rp1/4"" 316/316Ti
","040030101414
","1,46 €*
","Да
","0.062 kg
","https://shop.ms-armaturen.de/media/41/d2/03/1623401906/0400301-k.jpg ,https://shop.ms-armaturen.de/media/b5/91/8d/1603887164/0400301.jpg ,https://shop.ms-armaturen.de/media/5a/97/c4/1623919168/0400301_1_Bild_1.jpg ,https://shop.ms-armaturen.de/media/6b/27/25/1636980139/0400301_2_Bild_2.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp1-8-316-316Ti/040030101814,"WINKEL 90 IG-IG Rp1/8"" 316/316Ti
","040030101814
","1,46 €*
","Нет
","0.04 kg
","https://shop.ms-armaturen.de/media/41/d2/03/1623401906/0400301-k.jpg ,https://shop.ms-armaturen.de/media/b5/91/8d/1603887164/0400301.jpg ,https://shop.ms-armaturen.de/media/5a/97/c4/1623919168/0400301_1_Bild_1.jpg ,https://shop.ms-armaturen.de/media/6b/27/25/1636980139/0400301_2_Bild_2.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/RED-WINKEL-90-Rp3-8-1-4-316-316Ti-IG-IG/040030103804014,"RED-WINKEL 90 Rp3/8""-1/4"" 316/316Ti IG-IG
","040030103804014
","2,16 €*
","Нет
",,"https://shop.ms-armaturen.de/media/38/b2/98/1653401194/0400301R-k.jpg ,https://shop.ms-armaturen.de/media/72/0b/b2/1653401195/0400301R.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp1-2-316-316Ti/040030101214,"WINKEL 90 IG-IG Rp1/2"" 316/316Ti
","040030101214
","1,97 €*
","Да
","0.04 kg
","https://shop.ms-armaturen.de/media/41/d2/03/1623401906/0400301-k.jpg ,https://shop.ms-armaturen.de/media/b5/91/8d/1603887164/0400301.jpg ,https://shop.ms-armaturen.de/media/5a/97/c4/1623919168/0400301_1_Bild_1.jpg ,https://shop.ms-armaturen.de/media/6b/27/25/1636980139/0400301_2_Bild_2.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/RED-WINKEL-90-Rp3-4-1-2-316-316Ti-IG-IG/040030103404012,"RED-WINKEL 90 Rp3/4""-1/2"" 316/316Ti IG-IG
","040030103404012
","3,96 €*
","Нет
",,"https://shop.ms-armaturen.de/media/38/b2/98/1653401194/0400301R-k.jpg ,https://shop.ms-armaturen.de/media/72/0b/b2/1653401195/0400301R.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp3-8-316-316Ti/040030103814,"WINKEL 90 IG-IG Rp3/8"" 316/316Ti
","040030103814
","1,59 €*
","Да
","0.04 kg
","https://shop.ms-armaturen.de/media/41/d2/03/1623401906/0400301-k.jpg ,https://shop.ms-armaturen.de/media/b5/91/8d/1603887164/0400301.jpg ,https://shop.ms-armaturen.de/media/5a/97/c4/1623919168/0400301_1_Bild_1.jpg ,https://shop.ms-armaturen.de/media/6b/27/25/1636980139/0400301_2_Bild_2.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/RED-WINKEL-90-Rp1-2-3-8-316-316Ti-IG-IG/040030101204038,"RED-WINKEL 90 Rp1/2""-3/8"" 316/316Ti IG-IG
","040030101204038
","2,57 €*
","Нет
",,"https://shop.ms-armaturen.de/media/38/b2/98/1653401194/0400301R-k.jpg ,https://shop.ms-armaturen.de/media/72/0b/b2/1653401195/0400301R.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/2-TLG.-KUGELHAHN-IG-IG-Rp2-316Ti-FREIER-DURCHGANG/040030020014,"2-TLG. KUGELHAHN IG-IG Rp2"" 316Ti FREIER DURCHGANG
","040030020014
","106,22 €*
","Да
","3.521 kg
","https://shop.ms-armaturen.de/media/22/0c/0f/1653400256/0400300F-k.jpg ,https://shop.ms-armaturen.de/media/10/55/81/1653400257/0400300F.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp3-4-316-316Ti/040030103414,"WINKEL 90 IG-IG Rp3/4"" 316/316Ti
","040030103414
","2,84 €*
","Да
","0.026 kg
","https://shop.ms-armaturen.de/media/41/d2/03/1623401906/0400301-k.jpg ,https://shop.ms-armaturen.de/media/b5/91/8d/1603887164/0400301.jpg ,https://shop.ms-armaturen.de/media/5a/97/c4/1623919168/0400301_1_Bild_1.jpg ,https://shop.ms-armaturen.de/media/6b/27/25/1636980139/0400301_2_Bild_2.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/1-TLG.-KUGELHAHN-IG-IG-Rp2-316Ti-RED.-DURCHGANG/040030020004,"1-TLG. KUGELHAHN IG-IG Rp2"" 316Ti RED. DURCHGANG
","040030020004
","57,05 €*
","Нет
","0.43 kg
","https://shop.ms-armaturen.de/media/ed/b0/91/1653400254/0400300EC-k.jpg ,https://shop.ms-armaturen.de/media/89/01/97/1653400255/0400300EC.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/1-TLG.KUGELHAHN-IG-IG-Rp1.1-4-316Ti-RED.-DURCHGANG/040030011404,"1-TLG.KUGELHAHN IG-IG Rp1.1/4"" 316Ti RED. DURCHGANG
","040030011404
","35,98 €*
","Нет
","0.43 kg
","https://shop.ms-armaturen.de/media/ed/b0/91/1653400254/0400300EC-k.jpg ,https://shop.ms-armaturen.de/media/89/01/97/1653400255/0400300EC.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/2-TLG.KUGELHAHN-IG-IG-Rp1.1-2-316Ti-FREIER-DURCHGANG/040030011214,"2-TLG.KUGELHAHN IG-IG Rp1.1/2"" 316Ti FREIER DURCHGANG
","040030011214
","70,32 €*
","Да
","2.138 kg
","https://shop.ms-armaturen.de/media/22/0c/0f/1653400256/0400300F-k.jpg ,https://shop.ms-armaturen.de/media/10/55/81/1653400257/0400300F.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/2-TLG.KUGELHAHN-IG-IG-Rp1.1-4-316Ti-FREIER-DURCHGANG/040030011414,"2-TLG.KUGELHAHN IG-IG Rp1.1/4"" 316Ti FREIER DURCHGANG
","040030011414
","51,30 €*
","Да
","1.371 kg
","https://shop.ms-armaturen.de/media/22/0c/0f/1653400256/0400300F-k.jpg ,https://shop.ms-armaturen.de/media/10/55/81/1653400257/0400300F.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/1-TLG.-KUGELHAHN-IG-IG-Rp1-316Ti-RED.-DURCHGANG/040030010004,"1-TLG. KUGELHAHN IG-IG Rp1"" 316Ti RED. DURCHGANG
","040030010004
","20,80 €*
","Нет
","0.43 kg
","https://shop.ms-armaturen.de/media/ed/b0/91/1653400254/0400300EC-k.jpg ,https://shop.ms-armaturen.de/media/89/01/97/1653400255/0400300EC.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/1-TLG.KUGELHAHN-IG-IG-Rp1.1-2-316Ti-RED.-DURCHGANG/040030011204,"1-TLG.KUGELHAHN IG-IG Rp1.1/2"" 316Ti RED. DURCHGANG
","040030011204
","42,54 €*
","Нет
","0.43 kg
","https://shop.ms-armaturen.de/media/ed/b0/91/1653400254/0400300EC-k.jpg ,https://shop.ms-armaturen.de/media/89/01/97/1653400255/0400300EC.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/2-TLG.-KUGELHAHN-IG-IG-Rp1-316Ti-FREIER-DURCHGANG/040030010014,"2-TLG. KUGELHAHN IG-IG Rp1"" 316Ti FREIER DURCHGANG
","040030010014
","36,93 €*
","Да
","0.43 kg
","https://shop.ms-armaturen.de/media/22/0c/0f/1653400256/0400300F-k.jpg ,https://shop.ms-armaturen.de/media/10/55/81/1653400257/0400300F.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/2-TLG.-KUGELHAHN-IG-IG-Rp3-8-316Ti-FREIER-DURCHGANG/040030003814,"2-TLG. KUGELHAHN IG-IG Rp3/8 316Ti FREIER DURCHGANG
","040030003814
","19,78 €*
","Нет
",,"https://shop.ms-armaturen.de/media/22/0c/0f/1653400256/0400300F-k.jpg ,https://shop.ms-armaturen.de/media/10/55/81/1653400257/0400300F.jpg","Rohrverbindungen, "
https://shop.ms-armaturen.de/2-TLG.-KUGELHAHN-IG-IG-Rp3-4-316Ti-FREIER-DURCHGANG/040030003414,"2-TLG. KUGELHAHN IG-IG Rp3/4"" 316Ti FREIER DURCHGANG
","040030003414
","26,73 €*
","Да
","0.43 kg
","https://shop.ms-armaturen.de/media/22/0c/0f/1653400256/0400300F-k.jpg ,https://shop.ms-armaturen.de/media/10/55/81/1653400257/0400300F.jpg","Rohrverbindungen, "
