pr_articul,pr_categories,pr_header,pr_price,pr_stock,pr_url,pr_weight
"
                            040030001204
                        ","Zubehoer, Montagematerial, Rohrkappen, Rosette, ","
                    1-TLG. KUGELHAHN IG-IG Rp1/2"" 316Ti RED. DURCHGANG
                ","
                    Katalogpreis: 14,16 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/1-TLG.-KUGELHAHN-IG-IG-Rp1-2-316Ti-RED.-DURCHGANG/040030001204,"
            0.43 kg
        "
"
                            040030101814
                        ","Zubehoer, Montagematerial, Rohrkappen, Rosette, ","
                    WINKEL 90 IG-IG Rp1/8"" 316/316Ti
                ","
                    Katalogpreis: 1,46 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp1-8-316-316Ti/040030101814,"
            0.04 kg
        "
"
                            040030101414
                        ","Zubehoer, Montagematerial, Rohrkappen, Rosette, ","
                    WINKEL 90 IG-IG Rp1/4"" 316/316Ti
                ","
                    Katalogpreis: 1,46 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp1-4-316-316Ti/040030101414,"
            0.062 kg
        "
"
                            040030101214
                        ","Zubehoer, Montagematerial, Rohrkappen, Rosette, ","
                    WINKEL 90 IG-IG Rp1/2"" 316/316Ti
                ","
                    Katalogpreis: 1,97 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp1-2-316-316Ti/040030101214,"
            0.04 kg
        "
"
                            040030101204038
                        ","Zubehoer, Montagematerial, Rohrkappen, Rosette, ","
                    RED-WINKEL 90 Rp1/2""-3/8"" 316/316Ti IG-IG
                ","
                    Katalogpreis: 2,57 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/RED-WINKEL-90-Rp1-2-3-8-316-316Ti-IG-IG/040030101204038,
"
                            040030020014
                        ","Zubehoer, Montagematerial, Rohrkappen, Rosette, ","
                    2-TLG. KUGELHAHN IG-IG Rp2"" 316Ti FREIER DURCHGANG
                ","
                    Katalogpreis: 106,22 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/2-TLG.-KUGELHAHN-IG-IG-Rp2-316Ti-FREIER-DURCHGANG/040030020014,"
            3.521 kg
        "
"
                            040030103814
                        ","Zubehoer, Montagematerial, Rohrkappen, Rosette, ","
                    WINKEL 90 IG-IG Rp3/8"" 316/316Ti
                ","
                    Katalogpreis: 1,59 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp3-8-316-316Ti/040030103814,"
            0.04 kg
        "
"
                            040030103804014
                        ","Zubehoer, Montagematerial, Rohrkappen, Rosette, ","
                    RED-WINKEL 90 Rp3/8""-1/4"" 316/316Ti IG-IG
                ","
                    Katalogpreis: 2,16 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/RED-WINKEL-90-Rp3-8-1-4-316-316Ti-IG-IG/040030103804014,
"
                            040030103404012
                        ","Zubehoer, Montagematerial, Rohrkappen, Rosette, ","
                    RED-WINKEL 90 Rp3/4""-1/2"" 316/316Ti IG-IG
                ","
                    Katalogpreis: 3,96 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/RED-WINKEL-90-Rp3-4-1-2-316-316Ti-IG-IG/040030103404012,
"
                            040030103414
                        ","Zubehoer, Montagematerial, Rohrkappen, Rosette, ","
                    WINKEL 90 IG-IG Rp3/4"" 316/316Ti
                ","
                    Katalogpreis: 2,84 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/WINKEL-90-IG-IG-Rp3-4-316-316Ti/040030103414,"
            0.026 kg
        "
