pr_articul,pr_categories,pr_header,pr_price,pr_stock,pr_url,pr_weight
"
                            040031101204
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG SS 1/2"" 316/316Ti FLACH DICHTEND
                ","
                    Katalogpreis: 8,93 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-SS-1-2-316-316Ti-FLACH-DICHTEND/040031101204,"
            0.189 kg
        "
"
                            040031111424
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-AG Rp/R1.1/4"" 316/316Ti FLACH DICHTEND
                ","
                    Katalogpreis: 24,60 €*
                ","
                    Derzeit nicht auf Lager.,
                    Bitte wenden Sie sich an Ihren zuständigen M&S Vertriebsmitarbeiter
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-AG-Rp-R1.1-4-316-316Ti-FLACH-DICHTEND/040031111424,"
            0.827 kg
        "
"
                            040031111414
                        ","Rohrverbindungen, Verschraubungen, ","
                    VERSCHRAUBUNG IG-IG Rp1.1/4"" 316/316Ti FLACH DICHTEND
                ","
                    Katalogpreis: 21,20 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/VERSCHRAUBUNG-IG-IG-Rp1.1-4-316-316Ti-FLACH-DICHTEND/040031111414,"
            0.515 kg
        "
"
                            110020321
                        ","Rohrverbindungen, Verschraubungen, ","
                    NUTMUTTER F DN32/1,25"" 304 BL. KANTEN GERUNDET
                ","
                    Katalogpreis: 9,90 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/NUTMUTTER-F-DN32-1-25-304-BL.-KANTEN-GERUNDET/110020321,"
            0.201 kg
        "
"
                            106000651
                        ","Rohrverbindungen, Verschraubungen, ","
                    KEGELSTUTZEN D 70x2 DN 65 304 BL.
                ","
                    Katalogpreis: 12,30 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/KEGELSTUTZEN-D-70x2-DN-65-304-BL./106000651,"
            0.31 kg
        "
"
                            106000653
                        ","Rohrverbindungen, Verschraubungen, ","
                    KEGELSTUTZEN D 70x2 DN 65 316L BL.
                ","
                    Katalogpreis: 16,15 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/KEGELSTUTZEN-D-70x2-DN-65-316L-BL./106000653,"
            0.309 kg
        "
"
                            106000503
                        ","Rohrverbindungen, Verschraubungen, ","
                    KEGELSTUTZEN D 52x1,5 DN 50 316L BL.
                ","
                    Katalogpreis: 10,40 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/KEGELSTUTZEN-D-52x1-5-DN-50-316L-BL./106000503,"
            0.22 kg
        "
"
                            105011123
                        ","Rohrverbindungen, Verschraubungen, ","
                    GEWINDESTUTZEN C 1,5"" 316L BL.
                ","
                    Katalogpreis: 13,20 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/GEWINDESTUTZEN-C-1-5-316L-BL./105011123,"
            0.234 kg
        "
"
                            120000151
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLINDMUTTER DN 15 304 POL.
                ","
                    Katalogpreis: 16,85 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLINDMUTTER-DN-15-304-POL./120000151,"
            0.1 kg
        "
"
                            118021003
                        ","Rohrverbindungen, Verschraubungen, ","
                    BLECH-BLINDKEGEL DN 100 316L POL.
                ","
                    Katalogpreis: 19,75 €*
                ","
                    Auf Lager.
                ",https://shop.ms-armaturen.de/BLECH-BLINDKEGEL-DN-100-316L-POL./118021003,"
            0.17 kg
        "
