2024-08-07 11:14:05 [scrapy.utils.log] INFO: Scrapy 2.11.2 started (bot: spiders)
2024-08-07 11:14:05 [scrapy.utils.log] INFO: Versions: lxml 4.8.0.0, libxml2 2.9.13, cssselect 1.2.0, parsel 1.9.1, w3lib 2.2.1, Twisted 24.3.0, Python 3.10.12 (main, Mar 22 2024, 16:50:05) [GCC 11.4.0], pyOpenSSL 24.2.1 (OpenSSL 3.3.1 4 Jun 2024), cryptography 43.0.0, Platform Linux-5.15.0-116-generic-x86_64-with-glibc2.35
2024-08-07 11:14:05 [scrapy.addons] INFO: Enabled addons:
[]
2024-08-07 11:14:05 [asyncio] DEBUG: Using selector: EpollSelector
2024-08-07 11:14:05 [scrapy.utils.log] DEBUG: Using reactor: twisted.internet.asyncioreactor.AsyncioSelectorReactor
2024-08-07 11:14:05 [scrapy.utils.log] DEBUG: Using asyncio event loop: asyncio.unix_events._UnixSelectorEventLoop
2024-08-07 11:14:05 [scrapy.extensions.telnet] INFO: Telnet Password: 2b8381bccd22b09c
2024-08-07 11:14:05 [scrapy.middleware] INFO: Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.memusage.MemoryUsage',
 'scrapy.extensions.feedexport.FeedExporter',
 'scrapy.extensions.logstats.LogStats']
2024-08-07 11:14:05 [scrapy.crawler] INFO: Overridden settings:
{'BOT_NAME': 'spiders',
 'FEED_EXPORT_ENCODING': 'utf-8',
 'FEED_EXPORT_FIELDS': ['URL страницы',
                        'Заголовок',
                        'Артикул/SKU',
                        'Цена',
                        'Наличие',
                        'Вес',
                        'Картинки',
                        'Категории'],
 'LOG_FILE': 'files/temp/scrapy_output_1.log',
 'NEWSPIDER_MODULE': 'spiders.spiders',
 'REQUEST_FINGERPRINTER_IMPLEMENTATION': '2.7',
 'ROBOTSTXT_OBEY': True,
 'SPIDER_MODULES': ['spiders.spiders'],
 'TWISTED_REACTOR': 'twisted.internet.asyncioreactor.AsyncioSelectorReactor'}
2024-08-07 11:14:05 [scrapy.middleware] INFO: Enabled downloader middlewares:
['scrapy.downloadermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.downloadermiddlewares.robotstxt.RobotsTxtMiddleware',
 'scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.retry.RetryMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats']
2024-08-07 11:14:05 [scrapy.middleware] INFO: Enabled spider middlewares:
['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']
2024-08-07 11:14:05 [scrapy.middleware] INFO: Enabled item pipelines:
[]
2024-08-07 11:14:05 [scrapy.core.engine] INFO: Spider opened
2024-08-07 11:14:05 [scrapy.extensions.logstats] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2024-08-07 11:14:05 [scrapy.extensions.telnet] INFO: Telnet console listening on 127.0.0.1:6023
2024-08-07 11:14:05 [scrapy.core.engine] DEBUG: Crawled (404) <GET https://shop.ms-armaturen.de/robots.txt> (referer: None)
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 6 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 26 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 28 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 30 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 32 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 34 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 35 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 37 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 39 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 41 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 43 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 45 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 46 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 55 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 59 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 63 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 67 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 77 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 80 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 90 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 112 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 149 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 168 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 187 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 206 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 226 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 319 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 320 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 322 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 347 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 386 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 420 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 447 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 454 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 485 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 503 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 559 without any user agent to enforce it on.
2024-08-07 11:14:05 [protego] DEBUG: Rule at line 580 without any user agent to enforce it on.
